ano;cod_mun;num_obt
2004;210820;5
2005;210820;10
2006;210820;17
2007;210820;15
2008;210820;21
2009;210820;27
2010;210820;13
2011;210820;9
2012;210820;8
2013;210820;15
2014;210820;11
2015;210820;12
2016;210820;8
2004;210825;15
2005;210825;5
2006;210825;6
2007;210825;8
2008;210825;4
2009;210825;6
2010;210825;7
2011;210825;6
2012;210825;4
2013;210825;7
2014;210825;9
2015;210825;5
2016;210825;3
2004;210830;2
2005;210830;22
2006;210830;16
2007;210830;26
2008;210830;19
2009;210830;16
2010;210830;7
2011;210830;9
2012;210830;13
2013;210830;8
2014;210830;15
2015;210830;19
2016;210830;10
2004;210840;1
2005;210840;1
2006;210840;5
2007;210840;3
2008;210840;1
2009;210840;7
2010;210840;2
2011;210840;5
2012;210840;3
2013;210840;2
2014;210840;1
2015;210840;2
2016;210840;2
2004;210845;9
2005;210845;5
2006;210845;7
2007;210845;7
2008;210845;4
2009;210845;9
2010;210845;4
2011;210845;5
2012;210845;8
2013;210845;9
